Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Закусило,Веніямин,Артемович,Чоловіча,14.02.1982,Науковець,місто Олевськ,"узвіз Деревообробна, буд. 174 кв. 7, Кам'янець-Подільський, 29225",+380 06 743-10-57,biashchuk@example.net
Дубенко,Іван,Денисович,Чоловіча,27.03.1996,Дизайнер,селище Алмазна,"парк Балтський 8-й, буд. 40 кв. 44, Рава-Руська, 34109",+380 (78) 477-58-93,darynaprykhodko@example.org
Павлик,Марко,Артемович,Чоловіча,03.05.1997,Електрик,хутір Мукачево,"провулок Мельницька, буд. 7 кв. 3, Бар, 91003",+380 77 177-06-28,azarchuiko@example.com
Якименко,Максим,Васильович,Чоловіча,22.02.2006,Шериф,місто Ічня,"проспект Рівності, буд. 5, Зоринськ, 19621",+380 (73) 136-23-99,danylenkopanas@example.org
Іщенко,Василина,Петрівна,Жіноча,28.05.1938,Гірник,місто Євпаторія,"площа Агрономічний, буд. 64 кв. 27, Сновськ, 15215",+380 45 628-24-29,tderhach@example.net
Дзюба,Артем,Михайлович,Чоловіча,21.04.1975,Біолог,селище Зугрес,"площа Свободи, буд. 5 кв. 8, Запоріжжя, 78292",+380 74 407-95-93,gishchak@example.org
Теличенко,Ганна,Сергіївна,Жіноча,16.12.1948,Графік,місто Арциз,"набережна Самарська, буд. 9 кв. 9, Шаргород, 35721",+380 39 823-73-37,vira41@example.net
Дзиндра,Руслан,Денисович,Чоловіча,25.02.1998,Редактор,селище Ізюм,"проспект Мінська, буд. 4 кв. 6, Вуглегірськ, 18831",+380 34 650-47-78,lbabiuk@example.org
Лисенко,Розалія,Михайлівна,Жіноча,13.05.1978,Кінокритик,село П'ятихатки,"узвіз Куниці, буд. 2, Ровеньки, 74320",+380 87 032 26 06,zrudyk@example.net
Данильчук,Розалія,Денисівна,Жіноча,02.05.1962,Секретар,село Довжанськ,"вулиця Закарпатська, буд. 6 кв. 548, Білогірськ, 22032",+380 48 389 15 60,adademianchuk@example.com
Лемешко,Сніжана,Михайлівна,Жіноча,15.08.1938,Няня,місто Судова Вишня,"набережна Дюківська, буд. 51 кв. 39, Тальне, 32719",+380 (56) 522-12-71,leonid56@example.com
Величко,Едуард,Сергійович,Чоловіча,04.10.1965,Режисер,місто Чернігів,"провулок Іванова 1-й, буд. 57, Верхньодніпровськ, 68739",584 38 30,zakhar73@example.com
Твердохліб,Устим,Михайлович,Чоловіча,14.01.1956,Журналіст,селище Зіньків,"узвіз Аеропортівський 3-й, буд. 4, Попасна, 07164",093 848-47-58,bevzklavdiia@example.com
Єсипенко,Пармен,Іванович,Чоловіча,15.09.1986,Дерун,село Кременчук,"сквер Святослава Ріхтера, буд. 2 кв. 76, Моспине, 85509",+380 93 543-07-18,bohdan89@example.org
Токар,Василина,Денисівна,Жіноча,20.05.1975,Лікар,селище Славута,"узвіз Чорноморський 1-й, буд. 4, Зоринськ, 76511",083 539-93-77,idemianchuk@example.org
Бандура,Франц,Артемович,Чоловіча,03.04.1984,Математик,місто Лисичанськ,"сквер Будівельний, буд. 755 кв. 57, Петрово-Красносілля, 12342",702-81-25,hlibredko@example.org
Колісниченко,Прохір,Андрійович,Чоловіча,20.06.1961,Електромонтер,селище Герца,"сквер Лінія 47-ма, буд. 54 кв. 339, Іловайськ, 02791",+380 03 152-56-59,yieshchenko@example.com
Притула,Леопольд,Ярославович,Чоловіча,24.06.1993,Акушер,місто Волочиськ,"парк Малиновський, буд. 87 кв. 1, Щолкіне, 83445",072 486-88-95,dankivzlatoslava@example.org
Аронець,Борис,Михайлович,Чоловіча,15.01.1974,Дизайнер,село Тараща,"узвіз Партизанська, буд. 9 кв. 481, Південне , 01311",+380 82 324-77-82,batiukopanas@example.com
Гоголь-Яновський,Олександр,Ярославович,Чоловіча,18.07.1957,Випробувач,хутір Сватове,"набережна Чехова, буд. 8, Зеленодольськ, 01479",+380 (26) 146-49-50,tkozak@example.net
Баклан,Леопольд,Сергійович,Чоловіча,13.06.1958,Режисер,місто Бібрка,"шосе Морський, буд. 985 кв. 7, Чернівці, 59905",+380 61 811-91-52,myron23@example.com
Філіпенко,Йосип,Андрійович,Чоловіча,15.05.1992,Режисер,місто Новий Калинів,"провулок Михайла Божія, буд. 53 кв. 1, Новоазовськ, 10967",040 367-09-04,bohuslavasahal@example.com
Ляшко,Валентин,Іванович,Чоловіча,17.06.1982,Юрист,хутір Звенигородка,"проспект Жуковського, буд. 022 кв. 86, Хорол , 26711",870 53 80,pylypenkoliza@example.net
Дерегус,Богданна,Іванівна,Жіноча,10.02.1950,Кінорежисер,хутір Щастя ,"сквер Лермонтовський, буд. 5 кв. 0, Боково-Хрустальне, 52314",+380 96 310-38-91,solomonmatiash@example.net
Рева,Ліза,Андріївна,Жіноча,12.11.2003,Педагог,селище Звенигородка,"провулок Соляний 5-й, буд. 9 кв. 19, Первомайський , 92367",978 43 10,iustymvdovychenko@example.com
Ірванець,Борислав,Іванович,Чоловіча,01.07.1990,Няня,місто Алчевськ,"площа Ширяївський, буд. 3, Золоте, 07237",+380 (00) 688-09-68,kamilla91@example.com
Сомко,Климент,Артемович,Чоловіча,19.11.2001,Зоолог,село Устилуг,"проспект Марата 1-й, буд. 507 кв. 810, Фастів, 24846",001 904-16-31,anzhelavernyhora@example.org
Михайличенко,Назар,Іванович,Чоловіча,22.10.1967,Паблік рилейшнз,селище Вилкове,"вулиця Тополина, буд. 700, Глобине, 58637",708 62 17,eskopenko@example.org
Яременко,Аркадій,Петрович,Чоловіча,22.12.1946,Конструктор,село Залізне,"сквер Ангарська, буд. 8 кв. 59, Ватутіне, 03601",+380 32 572-10-55,davydandriishyn@example.net
Цюпа,Давид,Денисович,Чоловіча,13.11.1994,Піаніст,селище Дніпро ,"сквер Картамишевська, буд. 937 кв. 562, Мирноград, 92781",+380 21 112-38-31,anitakonoplia@example.org
Таран,Ігор,Васильович,Чоловіча,18.04.1974,Астроном,місто Красилів,"набережна Ольгіївська, буд. 16 кв. 8, Долина , 88108",+380 85 004-80-39,olena94@example.com
Петрик,Ростислав,Артемович,Чоловіча,17.12.2001,Літературознавець,селище Оріхів,"парк Басейний 2-й, буд. 382 кв. 19, Мар'їнка, 94859",057 544 52 10,rubanstepan@example.org
Швачко,Надія,Денисівна,Жіноча,31.01.1957,Гірник,село Угнів,"парк Травневий 4-й, буд. 47 кв. 9, Костопіль, 03636",022 088 12 47,hakulenko@example.org
Скопенко,Валерій,Сергійович,Чоловіча,27.08.2007,Адвокат,хутір Кривий Ріг,"провулок Анни Ахматової, буд. 759 кв. 2, Балаклія, 33012",033 236 75 40,anitabairak@example.net
Талан,Яків,Михайлович,Чоловіча,28.03.1943,Електротехнік,селище Буринь,"вулиця Лузанівська, буд. 87 кв. 15, Гайворон, 70431",046 494-74-65,varvara89@example.com
Калениченко,Емілія,Василівна,Жіноча,09.07.2005,Сантехнік,хутір Джанкой,"узвіз 2-га Суворовська, буд. 2 кв. 1, Бердичів, 49844",+380 39 813-80-21,prokhir30@example.net
Тимчук,Орест,Петрович,Чоловіча,13.02.1984,Підприємець,хутір Решетилівка,"узвіз Нова, буд. 461 кв. 4, Мерефа, 98607",+380 (99) 248-34-67,ulavrenko@example.net
Кириленко,Богданна,Денисівна,Жіноча,28.10.1991,Історик,місто Корсунь-Шевченківський,"узвіз Тупиковий, буд. 706 кв. 9, Помічна, 02648",662 43 89,sviatoslav04@example.net
Базавлученко,Віталій,Артемович,Чоловіча,08.01.1959,Соціолог,село Чигирин,"парк Шкодова гора, буд. 86, Кілія, 26101",685-09-82,orysiashchyrytsia@example.com
Андрійович,Дмитро,Артемович,Чоловіча,15.07.2005,Дипломат,селище Мукачево,"сквер Іцхака Рабіна, буд. 28 кв. 12, Жмеринка, 76707",+380 89 127-27-37,kostiantyn01@example.com
Литвиненко,Розалія,Олегівна,Жіноча,12.02.1986,Музикант,село Київ,"проспект Шишкіна 1-й, буд. 885, Дніпро , 46609",+380 13 327-46-58,dannazaporozhets@example.org
Захарченко,Данило,Сергійович,Чоловіча,09.08.1982,Філолог,село Устилуг,"сквер Прибережний, буд. 9, Хуст, 01630",087 520-56-00,liudmyla49@example.net
Заєць,Єфрем,Михайлович,Чоловіча,04.09.2002,Краєзнавець,селище Бахчисарай,"вулиця Улітіна, буд. 020, Ржищів, 82356",+380 (83) 900-00-02,oksana62@example.com
Байда,Охрім,Михайлович,Чоловіча,19.11.1998,Патологоанатом,селище Білицьке,"парк Маланова, буд. 648, Липовець, 93651",+380 53 840-11-70,danneporozhnii@example.net
Семенченко,Ростислав,Сергійович,Чоловіча,08.07.1971,Антрополог,село Белз,"сквер Єлісаветинська, буд. 1 кв. 0, Великі Мости, 37598",585 02 10,larysa03@example.com
Тимченко,Валентина,Михайлівна,Жіноча,14.04.1942,М'ясник,місто Хуст,"шосе Сільськогосподарський, буд. 35 кв. 333, Снятин, 66155",+380 13 250-15-04,tkachviacheslav@example.net
Романчук,Маруся,Михайлівна,Жіноча,25.11.1991,Водій,село Прилуки,"вулиця Листяна, буд. 60 кв. 186, Новомиргород, 41351",596-54-64,myroslavdemydenko@example.com
Ткаченко,Демʼян,Ярославович,Чоловіча,30.04.1993,Географ,село Чорноморськ,"набережна Пересипська 10-та, буд. 6, Федорівка, 01439",+380 72 213 15 09,iaremastepan@example.com
Адамчук,Марія,Денисівна,Жіноча,19.12.1942,Літературознавець,хутір Енергодар,"площа Псковський, буд. 2, Золоте, 79743",+380 (08) 180-29-52,skorykkhrystyna@example.net
Уманець,Назар,Петрович,Чоловіча,13.10.1980,Кінорежисер,селище Сокаль,"сквер Квіткова, буд. 5 кв. 5, Городня, 44991",+380 04 602-80-90,snizhana19@example.com
Скирда,Клавдія,Петрівна,Жіноча,22.06.1968,М'ясник,хутір Гребінка,"сквер Шухевича Романа, буд. 664 кв. 1, Галич, 76742",+380 07 672-83-23,dshtepa@example.com
Авраменко,Прохір,Васильович,Чоловіча,26.02.1963,Випробувач,село Кременець,"набережна Леваневського, буд. 294 кв. 91, Вовчанськ, 57550",+380 (23) 061-76-13,dkorzh@example.org
Єресько,Вʼячеслав,Михайлович,Чоловіча,15.05.1941,Астронавт,селище Остер ,"проспект Штабний, буд. 516, Вишневе , 78867",+380 09 522-00-67,ustymnazarenko@example.net
Ємець,Галина,Іванівна,Жіноча,26.01.1951,Маркетолог,селище Тетіїв,"проспект Львівський, буд. 96 кв. 61, Пустомити, 66597",+380 45 243 94 10,vasylchaika@example.net
Сірченко,Марта,Василівна,Жіноча,26.11.1949,Ветеринар,село Бурштин ,"сквер Монастирський, буд. 85, Глобине, 65801",866 72 46,ievhen94@example.org
Франчук,Клавдія,Артемівна,Жіноча,29.08.1938,Астроном,село Жашків,"площа 5-та Лінія 6-й ст. Люстдорфської дороги, буд. 1 кв. 8, Вознесенівка, 30831",333 83 32,dverhun@example.net
Хоменко,Ігнат,Сергійович,Чоловіча,13.01.1985,Штукатур,хутір Камінь-Каширський,"провулок Богуна, буд. 1 кв. 96, Судова Вишня, 59528",+380 (17) 240-28-34,tereza81@example.com
Юрчишин,Святослав,Петрович,Чоловіча,01.10.1986,Кухар,село Болград,"провулок Новікова 2-га, буд. 3 кв. 9, Чистякове, 09203",092 669 56 67,mykhailyna96@example.org
Ірванець,Ада,Іванівна,Жіноча,18.02.1968,Диригент,хутір Подільськ,"вулиця Лузанівська, буд. 0 кв. 53, Енергодар, 63973",+380 88 725 12 99,panteleimon40@example.org
Ґоляш,Орест,Сергійович,Чоловіча,06.07.1996,Соціолог,село Новий Буг,"провулок Матроська Слобідка, буд. 115, Одеса, 90642",017 174-56-00,kpavlychenko@example.org
Сіробаба,Євген,Петрович,Чоловіча,18.09.1963,Педагог,хутір Волочиськ,"вулиця Ванний, буд. 8, Лозова , 57100",+380 60 233-21-61,oleksandr96@example.net
Хорішко,Наталія,Петрівна,Жіноча,03.07.1984,Круп'є,хутір Люботин,"вулиця Павлодарська, буд. 86 кв. 92, Бердичів, 89637",+380 (31) 945-25-20,valentynbarannyk@example.com
Жученко,Альбіна,Артемівна,Жіноча,01.01.1959,Конструктор,селище Коростишів,"шосе Михайла Божія, буд. 5, Борзна, 37605",+380 (85) 646-48-27,liubov72@example.org
Хорішко,Орест,Ярославович,Чоловіча,03.04.1999,Футболіст,хутір Козятин,"узвіз Спортивний, буд. 7 кв. 2, Вовчанськ, 16202",+380 08 306 14 17,opanas16@example.org
Цушко,Анжела,Ярославівна,Жіноча,27.08.2005,Архітектор,село Гола Пристань,"площа Базарна, буд. 150 кв. 19, Новоселиця, 29073",+380 91 449-11-09,teodorsuprunenko@example.com
Наливайко,Марія,Ярославівна,Жіноча,20.03.1957,Соціолог,село Миколаївка ,"набережна Тираспольська, буд. 195 кв. 5, Новий Калинів, 59479",+380 (51) 233-41-04,iosyptsiutsiura@example.net
Архипенко,Ольга,Андріївна,Жіноча,03.05.1999,Головний меркшейдер,селище Тернівка ,"парк Велика Садова, буд. 591 кв. 15, Ватутіне, 37639",+380 74 967-61-62,demydartymovych@example.org
Медведенко,Спас,Сергійович,Чоловіча,25.11.1998,Ґрунтознавець,село Бориспіль,"набережна Лінія 24-та, буд. 8, Прилуки, 91589",+380 98 682 52 54,telychenkokyrylo@example.org
Макаренко,Галина,Олегівна,Жіноча,20.01.1986,Диригент,хутір Бобровиця,"провулок Лінія 42-га, буд. 9 кв. 27, Херсон, 63730",+380 34 006 84 78,ada43@example.com
Шамрай,Гаврило,Артемович,Чоловіча,13.04.2000,Швачка,селище Нове Давидково,"провулок Дюківська, буд. 2 кв. 7, Умань, 84430",+380 (69) 708-36-64,alevtynvelychko@example.com
Безбородьки,Володимир,Іванович,Чоловіча,27.05.1977,Актор,село Чернігів,"узвіз Василя Симоненка, буд. 5 кв. 7, Первомайськ, 28011",+380 85 421 81 01,larysa83@example.org
Ємельяненко,Ірина,Василівна,Жіноча,22.04.1977,Історик,місто Баранівка,"шосе Ключовий 2-й, буд. 9 кв. 24, Болград, 59070",850-92-38,uvelychko@example.net
Засядько,Олег,Сергійович,Чоловіча,13.02.2000,Мірошник,село Євпаторія,"парк Манежний, буд. 08, Бершадь, 76993",042 367 91 55,amvrosii25@example.net
Гоголь-Яновський,Миколай,Денисович,Чоловіча,06.10.1952,Ботанік,місто Рені,"набережна Басейний 1-й, буд. 07 кв. 791, Черкаси, 16020",+380 60 822-91-10,alevtyn89@example.com
Годунок,Орхип,Олегович,Чоловіча,26.05.1981,Кушнір,селище Соледар,"вулиця Преображенська, буд. 12 кв. 12, Хрустальний, 49665",569 64 42,anzhelaiaremenko@example.org
Гриценко,Симон,Денисович,Чоловіча,07.06.1965,Гірник,місто Калинівка ,"узвіз Новикова, буд. 49, Умань, 06790",047 458-14-92,hshelest@example.net
Чабан,Орест,Михайлович,Чоловіча,19.07.1983,Ґрунтознавець,хутір Скадовськ,"сквер Перемоги, буд. 18, Одеса, 02425",+380 46 668-91-68,veniiamyn61@example.org
Гавриш,Марина,Іванівна,Жіноча,23.09.1979,Біолог,село Перечин,"узвіз Кленова, буд. 34, Вижниця, 36018",698 16 94,shyiandemyd@example.com
Єрченко,Лукʼян,Олегович,Чоловіча,02.07.1949,Каскадер,місто Часів Яр,"парк Тимірязєва 3-й, буд. 60, Таврійськ, 09401",026 775-01-81,zkhrystenko@example.com
Жук,Миколай,Васильович,Чоловіча,14.01.1971,Прокурор,селище Ужгород,"вулиця Сурикова, буд. 7, Кадіївка, 99843",+380 22 673-19-48,oleksademianenko@example.org
Ковпак,Адам,Ярославович,Чоловіча,10.07.1946,Детектив,місто Харків,"сквер Стельмаха, буд. 8, Вознесенівка, 99788",+380 83 271 95 15,spaskorpaniuk@example.net
Атаманчук,Людмила,Артемівна,Жіноча,08.08.1991,Будник,село Лисичанськ,"узвіз Кондренка, буд. 936, Богодухів, 30701",376 27 53,bohdanna85@example.net
Базилевський,Зорян,Олегович,Чоловіча,23.02.1978,Кушнір,село Житомир,"проспект Лютеранський, буд. 876 кв. 127, Баранівка, 70090",+380 23 707-05-38,alinadzhun@example.com
Пʼятаченко,Соломія,Іванівна,Жіноча,25.09.1954,Електромонтажник,хутір Карлівка,"набережна Усатівська, буд. 82, Алупка, 89585",+380 (44) 937-25-61,lmazepa@example.net
Артюшенко,Марія,Олегівна,Жіноча,08.11.1971,Хімік,село Дубно,"провулок Олександра Кутузакія, буд. 45 кв. 80, Залізне, 85199",+380 12 457 48 85,isaievychbohdanna@example.com
Верхола,Альбіна,Артемівна,Жіноча,25.04.1955,Мистецтвознавець,селище Баранівка,"набережна Локомотивна, буд. 93, Полтава, 33503",+380 68 917-86-96,asaulaiefrem@example.com
Цушко,Людмила,Петрівна,Жіноча,16.08.1990,Живописець,хутір Могилів-Подільський,"провулок Вчительської, 2-й, буд. 8, Пологи , 11602",+380 47 658-14-23,landriienko@example.com
Калениченко,Едуард,Іванович,Чоловіча,03.01.1965,Вчитель,місто Черкаси,"проспект Тепла, буд. 918 кв. 42, Приморськ (Україна), 32883",+380 95 394-89-09,ruslanabrahamovskyi@example.org
Гавришкевич,Валерій,Петрович,Чоловіча,06.05.1963,Астроном,селище Почаїв,"узвіз Ольгіївська, буд. 8 кв. 7, Івано-Франківськ, 19939",+380 (47) 728-99-64,baturynetssofiia@example.net
Михайличенко,Марина,Петрівна,Жіноча,15.04.1945,Конструктор,село Буськ,"набережна Академіка Воробйова, буд. 6 кв. 1, Кролевець, 67177",+380 46 479-38-17,marynadavydenko@example.org
Тригуб,Марко,Петрович,Чоловіча,02.07.1961,Агроном,село Селидове,"провулок Пересипська 6-та, буд. 75 кв. 43, Саки , 30893",+380 79 129 08 64,chavryliuk@example.org
Калениченко,Галина,Іванівна,Жіноча,18.02.2007,Машиніст,місто Вінниця,"вулиця М’ясоєдовська, буд. 183, Вишгород, 70505",+380 90 041-80-26,leopoldzatula@example.net
Яремчук,Трохим,Михайлович,Чоловіча,10.09.1969,Кухар,селище Очаків,"площа Проектований 4-й, буд. 834 кв. 8, Вінниця, 50955",+380 09 028-58-50,pavlobaran@example.com
Артеменко,Тимофій,Андрійович,Чоловіча,13.05.1948,Антрополог,селище Ясинувата,"парк Санітарна, буд. 6, Дніпро , 14376",+380 15 609-83-09,vyshyvanyioleh@example.net
Затула,Віктор,Михайлович,Чоловіча,15.02.2002,Астроном,село Красноград,"узвіз Кільцева, буд. 19 кв. 32, Пологи , 59401",009 521-27-79,volodymyra04@example.net
Аверченко,Теодор,Артемович,Чоловіча,05.07.1996,Бізнесмен,хутір Бориспіль,"парк Хімічний 3-й, буд. 63 кв. 79, Боково-Хрустальне, 32263",+380 59 934-95-29,pushkartetiana@example.org
Свистун,Святослав,Артемович,Чоловіча,20.09.1994,Підприємець,хутір Городище ,"набережна Баштанна, буд. 35, Почаїв, 19564",+380 29 965 42 07,myron43@example.net
Бабич,Леонтій,Олегович,Чоловіча,10.03.1999,Науковець,селище Дружківка,"проспект Локомотивний 3-й, буд. 7 кв. 16, Кролевець, 66273",087 238-00-56,ivaniaremenko@example.org
Власюк,Юхим,Артемович,Чоловіча,28.11.1958,Кінолог,місто Копичинці,"набережна Вітчизняна, буд. 12, Дубляни, 06731",017 61 63,okhrimchornovil@example.com
Андрієнко,Віталій,Олегович,Чоловіча,08.04.1982,Конструктор,село Коломия,"узвіз Желябова, буд. 7, Вишневе , 24708",006 947-49-76,htsybulenko@example.com
Онуфрієнко,Світлана,Олегівна,Жіноча,09.05.1998,Головний меркшейдер,село Малин,"сквер Рульовий, буд. 55 кв. 6, Первомайський , 23459",000 124-90-76,tykhyibohodar@example.com
Чалий,Віолетта,Михайлівна,Жіноча,05.04.2005,Етнограф,місто Кипуче,"набережна Макаренка, буд. 063, Дергачі, 16503",013 388-38-16,feofanpoltavets@example.org
Данько,Лукʼян,Іванович,Чоловіча,27.12.1981,Вчитель,місто Миколаїв,"проспект Юрженка Олександра, буд. 830, Полтава, 01903",+380 95 091-30-44,vadym14@example.com
Фурс,Теодор,Іванович,Чоловіча,18.03.1958,Драматург,хутір Новоукраїнка,"сквер Ключовий 1-й, буд. 532 кв. 448, Середина-Буда, 34240",215 28 05,tivanychuk@example.net
Рева,Нестор,Васильович,Чоловіча,27.12.1963,Сценарист,місто Семенівка,"вулиця Каманіна, буд. 0 кв. 8, Володимир-Волинський, 91995",042 608-77-71,iryna97@example.com
Алексійчук,Зорян,Васильович,Чоловіча,22.04.1957,Журналіст,хутір Павлоград,"шосе Радіо, буд. 21, Носівка, 44328",615 90 15,ielyseivelychko@example.net
Непорожній,Павло,Михайлович,Чоловіча,24.05.1954,Програміст,село Оріхів,"набережна Березовий, буд. 28 кв. 977, Чигирин, 78066",194 47 06,ustymdarahan@example.net
Дергач,Адам,Михайлович,Чоловіча,15.05.1983,Клавішник,селище Баранівка,"парк Олексіївська, буд. 068, Червоносів, 60231",+380 93 388 53 12,vsomko@example.com
Андрійович,Теодор,Андрійович,Чоловіча,13.08.1979,Ріелтор,місто Ізмаїл,"проспект Гранатний, буд. 67 кв. 5, Шаргород, 21942",998 41 11,korolenkoazar@example.net
Лесик,Тетяна,Петрівна,Жіноча,17.01.1971,Фотограф,хутір Немирів,"сквер Травневий 5-й, буд. 41, Тараща, 55766",+380 (48) 858-02-16,malyshkomarko@example.net
Сацюк,Альберт,Денисович,Чоловіча,05.04.1959,Історик,селище Підгайці,"набережна Дунайська, буд. 891 кв. 02, Кропивницький, 68448",+380 23 673 46 55,tsiupaorkhyp@example.org
Шеремет,Яків,Ярославович,Чоловіча,05.02.1998,Клоун,місто Бурштин ,"сквер Гілельса, буд. 4 кв. 88, Херсон, 38596",310 09 42,liliia75@example.net
Сіробаба,Роксолана,Олегівна,Жіноча,07.05.1992,Біолог,селище Кальміуське,"шосе Пересипська 8-ма, буд. 45 кв. 423, Моршин, 21505",006 373 78 72,mykytiuknestor@example.net
Юхименко,Леонід,Васильович,Чоловіча,17.09.1954,Гірничий інженер,хутір Корсунь-Шевченківський,"сквер Західний 1-й, буд. 4, Заводське, 95129",+380 (20) 448-41-59,vitaliivasylechko@example.org
Рябошапка,Алевтин,Артемович,Чоловіча,17.11.1996,Флорист,місто Бар,"узвіз Водний, буд. 62 кв. 584, Долинська, 65855",094 688 73 24,oryna06@example.org
Годунок,Семен,Денисович,Чоловіча,14.08.1941,Гірник,хутір Червоноград,"вулиця Мала Садова, буд. 913 кв. 726, Судак , 03292",+380 70 381-82-68,liza45@example.org
Романець,Святослава,Андріївна,Жіноча,10.11.1968,Патологоанатом,місто Вознесенівка,"шосе Старорізнична, буд. 551, Судак , 59637",+380 51 948 12 80,anzhela89@example.org
Іваничук,Борис,Іванович,Чоловіча,03.10.1994,Соціолог,село Красноперекопськ,"площа Слави, буд. 7 кв. 44, Зеленодольськ, 15618",028 281-73-28,pbhydenko@example.org
Данилюк,Давид,Артемович,Чоловіча,26.04.2004,Штукатур,селище Шахтарськ,"сквер Салтикова-Щедріна, буд. 9 кв. 93, Марганець , 78164",+380 98 623-95-93,chalyihlib@example.org
Девдюк,Симон,Петрович,Чоловіча,13.03.1993,Ґрунтознавець,село Євпаторія,"провулок Севастопольський, буд. 0, Суходільськ, 78625",437-33-29,irena21@example.com
Андрійчук,Федір,Михайлович,Чоловіча,03.01.2006,Патологоанатом,місто Подільськ,"сквер Сонячна, буд. 8 кв. 3, Кіцмань, 46706",091 279-04-11,jzhadan@example.com
Харченко,Микита,Іванович,Чоловіча,04.02.1941,Кінолог,хутір Бучач,"проспект Трудова, буд. 6 кв. 516, Благовіщенське, 98531",075 585 70 13,feofan67@example.org
Жадан,Симон,Денисович,Чоловіча,30.10.1946,Програміст,селище Стрий,"сквер Мала Садова, буд. 77 кв. 01, Привілля, 32720",+380 21 503 24 75,yskyba@example.net
Засядько,Василь,Петрович,Чоловіча,24.11.1983,Кіноактор,село Хоростків,"набережна Тюльпанний, буд. 2 кв. 780, Кагарлик, 15666",+380 89 407-68-42,bohuslavatovstukha@example.net
Теліженко,Розалія,Сергіївна,Жіноча,31.03.1996,Професор,місто Заставна,"набережна Льва Симиренка, буд. 5 кв. 339, Сулимівка (Слов'янськ), 10708",+380 07 272 42 62,vadym12@example.org
Штокало,Федір,Андрійович,Чоловіча,04.08.1980,Дипломат,село Арциз,"узвіз 15-та Суворовська, буд. 63, Нікополь, 03053",+380 34 427 29 69,allaskoryk@example.org
Гайворонський,Ярослава,Петрівна,Жіноча,02.04.1981,Електромонтер,селище Лиман ,"площа Базарна, буд. 607 кв. 4, Камінь-Каширський, 52365",+380 08 958 28 73,azarbaranets@example.com
Чумак,Олекса,Михайлович,Чоловіча,15.01.1992,Науковець,хутір Павлоград,"парк Наявний 6-й, буд. 942, Ізмаїл, 56409",+380 64 868-59-35,nadiia78@example.com
Скопенко,Богдан,Андрійович,Чоловіча,17.08.1993,Державний службовець,хутір Балта,"парк Остапа Вишні, буд. 131 кв. 85, Голубівка, 87645",078 478-18-70,emiliiaiarosh@example.com
Ґереґа,Олег,Михайлович,Чоловіча,12.09.1967,Електрослюсар,хутір Гайворон,"проспект 2-га Лінія 4-ї ст. Люстдорфської дороги, буд. 2, Гуляйполе, 79186",930-12-19,les30@example.com
Кириленко,Богуслава,Олегівна,Жіноча,29.08.1965,Драматург,село Кіцмань,"провулок Новий, буд. 884 кв. 04, Волноваха, 45159",+380 (08) 422-87-24,fedir89@example.net
Непорожній,Назар,Іванович,Чоловіча,21.10.1956,Швачка,селище Лутугине,"проспект Маразліївська, буд. 86, Чугуїв, 02060",060 455 90 30,nhavrysh@example.com
Затовканюк,Святослав,Петрович,Чоловіча,04.05.1968,Ді-джей,село Білицьке,"парк Каманіна, буд. 20 кв. 517, Авдіївка, 39692",+380 41 923-48-94,szabarnyi@example.org
Сірко,Ярослава,Сергіївна,Жіноча,01.04.1947,Кур'єр,селище Вовчанськ,"сквер Деревообробний 5-й, буд. 178, Слов'янськ, 25441",575 07 58,hlibsomko@example.com
Царенко,Петро,Ярославович,Чоловіча,14.03.1958,Композитор,хутір Жашків,"сквер Ювілейний 2-й, буд. 6, Трускавець, 01313",+380 42 455 07 17,zoriandanylenko@example.org
Ільєнко,Людмила,Денисівна,Жіноча,25.08.1984,Мірошник,село Покров,"парк Гонтаренко, буд. 178 кв. 7, Тернівка , 37144",+380 51 146-73-87,klyment23@example.net
Микитюк,Роксолана,Василівна,Жіноча,05.12.1951,Економіст,місто Великі Мости,"провулок Нафтовиків, буд. 6 кв. 11, Березне, 20923",+380 (94) 162-63-94,ihnat83@example.net
Якименко,Степан,Сергійович,Чоловіча,15.08.1950,Маркетолог,хутір Бровари,"шосе 2-га Лінія Марії Демченко, буд. 80, Овруч, 58438",075 315-63-83,udovenkohanna@example.org
Аврамчук,Олекса,Сергійович,Чоловіча,12.05.1997,Менеджер,селище Лубни,"набережна Нафтовиків 3-й, буд. 015 кв. 19, Тараща, 63317",458 05 31,tkarmaliuk@example.org
Рудько,Лариса,Андріївна,Жіноча,03.03.1991,Менеджер,село Дубровиця,"проспект 8-ма Лінія Дачі Ковалевського, буд. 8 кв. 3, Христинівка, 91149",+380 48 515-08-36,tymofii79@example.com
Ващенко,Михайлина,Василівна,Жіноча,14.12.1951,Музикант,хутір Харцизьк,"провулок Черняховського, буд. 13, Алушта, 98601",054 900-96-01,trokhymzabashta@example.net
Демʼянюк,Ярема,Михайлович,Чоловіча,29.01.1951,Каскадер,хутір Федорівка,"парк Бориса Літвака, буд. 157, Світловодськ, 47771",+380 14 587 91 85,leopoldshutko@example.net
Рудик,Богодар,Артемович,Чоловіча,08.06.1972,Астроном,село Авдіївка,"узвіз Нафтовиків, буд. 7 кв. 81, Новоукраїнка, 91039",026 108-26-70,virazhalilo@example.com
